date,Fog_L_jour_x,Hydropanel_L_jour_x,AgriPV_L_jour_x,Condensation_L_jour_x,YEAR,DOY,ALLSKY_SFC_SW_DWN,WS2M,T2M_MAX,RH2M,T2M_MIN,PRECTOTCORR,Irradiance_kWh_m2,Hydropanel_L_jour_y,AgriPV_Energie_kWh_jour,AgriPV_L_jour_y,Fog_L_jour_y,Condensation_L_jour_y
2024-07-16,50.0,6.775462962962963,9.756666666666666,2.0,2024,198,29.27,4.02,36.99,47.01,19.53,0.04,8.130555555555555,6.775462962962963,14.634999999999998,9.756666666666666,50.0,2.0
2024-07-17,50.0,5.863425925925926,8.443333333333332,2.0,2024,199,25.33,3.44,39.7,39.8,18.24,0.01,7.0361111111111105,5.863425925925926,12.664999999999997,8.443333333333332,50.0,2.0
2024-07-18,50.0,5.386574074074074,7.756666666666667,2.0,2024,200,23.27,2.61,42.41,30.1,25.46,0.0,6.463888888888889,5.386574074074074,11.635,7.756666666666667,50.0,2.0
2024-07-19,50.0,4.62037037037037,6.653333333333332,2.0,2024,201,19.96,2.24,43.9,40.64,26.27,12.25,5.544444444444444,4.62037037037037,9.979999999999999,6.653333333333332,50.0,2.0
2024-07-20,50.0,6.384259259259259,9.193333333333332,2.0,2024,202,27.58,3.19,39.21,46.77,22.78,0.0,7.6611111111111105,6.384259259259259,13.789999999999997,9.193333333333332,50.0,2.0
2024-07-21,50.0,6.780092592592593,9.763333333333334,2.0,2024,203,29.29,3.49,37.88,45.43,20.31,0.0,8.136111111111111,6.780092592592593,14.645,9.763333333333334,50.0,2.0
2024-07-22,50.0,6.541666666666667,9.42,2.0,2024,204,28.26,2.74,40.44,42.46,20.57,0.0,7.8500000000000005,6.541666666666667,14.129999999999999,9.42,50.0,2.0
2024-07-23,50.0,6.229166666666667,8.97,2.0,2024,205,26.91,1.98,46.02,30.1,24.82,0.02,7.475,6.229166666666667,13.455,8.97,50.0,2.0
2024-07-24,50.0,6.173611111111112,8.889999999999999,2.0,2024,206,26.67,2.77,46.79,21.81,29.46,0.0,7.408333333333333,6.173611111111112,13.334999999999999,8.889999999999999,50.0,2.0
2024-07-25,50.0,6.048611111111111,8.709999999999999,2.0,2024,207,26.13,2.91,44.29,29.14,25.87,0.0,7.258333333333333,6.048611111111111,13.065,8.709999999999999,50.0,2.0
2024-07-26,50.0,6.831018518518519,9.836666666666668,2.0,2024,208,29.51,3.19,39.69,36.8,21.78,0.0,8.197222222222223,6.831018518518519,14.755,9.836666666666668,50.0,2.0
2024-07-27,50.0,6.581018518518519,9.476666666666668,2.0,2024,209,28.43,3.77,36.83,49.03,19.14,0.0,7.897222222222222,6.581018518518519,14.215,9.476666666666667,50.0,2.0
2024-07-28,50.0,6.090277777777777,8.77,2.0,2024,210,26.31,3.83,34.18,55.96,18.7,0.01,7.308333333333333,6.090277777777777,13.155,8.77,50.0,2.0
2024-07-29,50.0,6.342592592592592,9.133333333333333,2.0,2024,211,27.4,3.31,35.09,52.05,17.89,0.0,7.611111111111111,6.342592592592592,13.7,9.133333333333333,50.0,2.0
2024-07-30,50.0,6.344907407407407,9.136666666666663,2.0,2024,212,27.41,3.47,39.45,46.77,18.26,0.0,7.613888888888889,6.344907407407407,13.704999999999998,9.136666666666665,50.0,2.0
2024-07-31,50.0,5.912037037037036,8.513333333333334,2.0,2024,213,25.54,3.03,41.42,42.27,22.23,0.0,7.094444444444444,5.912037037037036,12.77,8.513333333333334,50.0,2.0
